source,doi,arxiv_id,posted_date,title,abstract
AfricArXiv (OSF),10.31730/osf.io/sy54p,NA,2020-03-10,THE CAUSE OF PANIC AT THE OUTBREAK OF COVID-19 IN SOUTH AFRICA – A COMPARATIVE ANALYSIS WITH SIMILAR OUTBREAK IN CHINA AND NEW YORK,"<p>Lack of proper messaging at an outbreak of a novel disease causes panic with more serious damaging impacts on livelihoods, social-fabric of communities, economic landscapes, and political stability. There have been notable high levels of panic in South Africa and the globe with regard to the outbreak of COVID-19. The current lack of knowledge and poor communication has been attributed as a precursor to the skyrocketing global panic (Freimuth, Linnan, Potter, 2000).  Fuelling this panic is the rate at which the incidence of new infections is increasing in countries outside of China, with Italy and Iran leading on a number of new infections and death cases.A  Content Analysis method was used to analyze articles, media clips and social network reactions to the outbreak of COVID-19 in South Africa on the 6th of March 2020. The key to the investigation was to understand how authorities are communicating with the public on matters of national concern – regarding how they are prepared to deal and handle the outbreak. This study further compares the South African response to China at the outbreak of SARS in 2003. Codes were generated in targeted media and scientific sources and themes were generated and presented.Findings indicate that the general public does not have faith in government authorities, due to a lack of communication. It is perceived that lack of communication is indicative of a lack of preparedness. Contrary to evident panic in South Africa, scientific data indicates that there is no need to panic as a result of the outbreak of COVID-19. Further, a study from the French Institute for Health and Medical Research in 2020 on the prepardness of African countries to handle COVID-19 indicates that South Africa is one of the better-equipped countries in Africa to detect and handle any incidence of COVID-19. The study recommends that authorities and policy-makers use communications to educate the public far earlier at the onset of epidemic outbreaks, regardless of where it happens as the air-traffic connects global countries, resulting in the potential for disease importation.</p>"
bioRxiv,10.1101/2020.01.24.919159,NA,2020-01-25,2019-20 Wuhan coronavirus outbreak: Intense surveillance is vital for preventing sustained transmission in new locations,"<jats:title>ABSTRACT</jats:title><jats:p>The outbreak of pneumonia originating in Wuhan, China, has generated 830 confirmed cases, including 26 deaths, as of 24 January 2020. The virus (2019-nCoV) has spread elsewhere in China and to other countries, including South Korea, Thailand, Japan and USA. Fortunately, there has not yet been evidence of sustained human-to-human transmission outside of China. Here we assess the risk of sustained transmission whenever the coronavirus arrives in other countries. Data describing the times from symptom onset to hospitalisation for 47 patients infected in the current outbreak are used to generate an estimate for the probability that an imported case is followed by sustained human-to-human transmission. Under the assumptions that the imported case is representative of the patients in China, and that the 2019-nCoV is similarly transmissible to the SARS coronavirus, the probability that an imported case is followed by sustained human-to-human transmission is 0.37. However, if the mean time from symptom onset to hospitalisation can be halved by intense surveillance, then the probability that an imported case leads to sustained transmission is only 0.005. This emphasises the importance of current surveillance efforts in countries around the world, to ensure that the ongoing outbreak will not become a large global epidemic.</jats:p>"
bioRxiv,10.1101/2020.03.15.992883,NA,2020-03-17,A Cryptic Site of Vulnerability on the Receptor Binding Domain of the SARS-CoV-2 Spike Glycoprotein,"<jats:title>SUMMARY</jats:title><jats:p>SARS-CoV-2 is a zoonotic virus that has caused a pandemic of severe respiratory disease—COVID-19— within several months of its initial identification. Comparable to the first SARS-CoV, this novel coronavirus’s surface Spike (S) glycoprotein mediates cell entry via the human ACE-2 receptor, and, thus, is the principal target for the development of vaccines and immunotherapeutics. Molecular information on the SARS-CoV-2 S glycoprotein remains limited. Here we report the crystal structure of the SARS-CoV-2 S receptor-binding-domain (RBD) at a the highest resolution to date, of 1.95 Å. We identified a set of SARS-reactive monoclonal antibodies with cross-reactivity to SARS-CoV-2 RBD and other betacoronavirus S glycoproteins. One of these antibodies, CR3022, was previously shown to synergize with antibodies that target the ACE-2 binding site on the SARS-CoV RBD and reduce viral escape capacity. We determined the structure of CR3022, in complex with the SARS-CoV-2 RBD, and defined a broadly reactive epitope that is highly conserved across betacoronaviruses. This epitope is inaccessible in the “closed” prefusion S structure, but is accessible in “open” conformations. This first-ever resolution of a human antibody in complex with SARS-CoV-2 and the broad reactivity of this set of antibodies to a conserved betacoronavirus epitope will allow antigenic assessment of vaccine candidates, and provide a framework for accelerated vaccine, immunotherapeutic and diagnostic strategies against SARS-CoV-2 and related betacoronaviruses.</jats:p><jats:sec><jats:title>HIGHLIGHTS</jats:title><jats:p>High resolution structure of the SARS-CoV-2 Receptor-Binding-Domain (RBD).</jats:p><jats:p>Recognition of the SARS-CoV-2 RBD by SARS-CoV antibodies.</jats:p><jats:p>Structure of the SARS-COV-2 RBD in complex with antibody CR3022.</jats:p><jats:p>Identification of a cryptic site of vulnerability on the SARS-CoV-2 Spike.</jats:p></jats:sec>"
bioRxiv,10.1101/2020.03.11.986836,NA,2020-03-12,A data-driven drug repositioning framework discovered a potential therapeutic agent targeting COVID-19,"<jats:title>Abstract</jats:title><jats:p>The global spread of SARS-CoV-2 requires an urgent need to find effective therapeutics for the treatment of COVID-19. We developed a data-driven drug repositioning framework, which applies both machine learning and statistical analysis approaches to systematically integrate and mine large-scale knowledge graph, literature and transcriptome data to discover the potential drug candidates against SARS-CoV-2. The retrospective study using the past SARS-CoV and MERS-CoV data demonstrated that our machine learning based method can successfully predict effective drug candidates against a specific coronavirus. Our <jats:italic>in silico</jats:italic> screening followed by wet-lab validation indicated that a poly-ADP-ribose polymerase 1 (PARP1) inhibitor, CVL218, currently in Phase I clinical trial, may be repurposed to treat COVID-19. Our <jats:italic>in vitro</jats:italic> assays revealed that CVL218 can exhibit effective inhibitory activity against SARS-CoV-2 replication without obvious cytopathic effect. In addition, we showed that CVL218 is able to suppress the CpG-induced IL-6 production in peripheral blood mononuclear cells, suggesting that it may also have anti-inflammatory effect that is highly relevant to the prevention immunopathology induced by SARS-CoV-2 infection. Further pharmacokinetic and toxicokinetic evaluation in rats and monkeys showed a high concentration of CVL218 in lung and observed no apparent signs of toxicity, indicating the appealing potential of this drug for the treatment of the pneumonia caused by SARS-CoV-2 infection. Moreover, molecular docking simulation suggested that CVL218 may bind to the N-terminal domain of nucleocapsid (N) protein of SARS-CoV-2, providing a possible model to explain its antiviral action. We also proposed several possible mechanisms to explain the antiviral activities of PARP1 inhibitors against SARS-CoV-2, based on the data present in this study and previous evidences reported in the literature. In summary, the PARP1 inhibitor CVL218 discovered by our data-driven drug repositioning framework can serve as a potential therapeutic agent for the treatment of COVID-19.</jats:p>"
bioRxiv,10.1101/2020.02.05.920009,NA,2020-02-07,A database resource for Genome-wide dynamics analysis of Coronaviruses on a historical and global scale,"<jats:title>Abstract</jats:title><jats:p>The recent outbreak of a new zoonotic origin Coronavirus has ring the bell for the potential spread of epidemic Coronavirus crossing the species. With the urgent needs to assist the control of the Coronavirus spread and to provide valuable scientific information, we developed a coronavirus database (CoVdb), an online genomics and proteomics analysis platform. Based on public available coronavirus genomic information, the database annotates the genome of every strain and identifies 780 possible ORFs of all strains available in Genebank. In addition, the comprehensive evaluation of all the published genomes of Coronavirus strains, including population genetics analysis, functional analysis and structural analysis on a historical and global scale were presented in the CoVdb. In the database, the researcher can easily obtain the basic information of a Coronavirus gene with the distribution of the gene among strains, conserved or high mutation regions, possible subcellular location and topology of the gene. Moreover, sliding windows for population genetics analysis results is provided, thereby facilitating genetics and evolutional analysis at the genomic level. CoVdb can be accessed freely at <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://covdb.popgenetics.net"">http://covdb.popgenetics.net</jats:ext-link>.</jats:p>"
bioRxiv,10.1101/2020.03.13.991570,NA,2020-03-14,A highly conserved cryptic epitope in the receptor-binding domains of SARS-CoV-2 and SARS-CoV,"<jats:title>ABSTRACT</jats:title><jats:p>The outbreak of COVID-19, which is caused by SARS-CoV-2 virus, continues to spread globally, but there is currently very little understanding of the epitopes on the virus. In this study, we have determined the crystal structure of the receptor-binding domain (RBD) of the SARS-CoV-2 spike (S) protein in complex with CR3022, a neutralizing antibody previously isolated from a convalescent SARS patient. CR3022 targets a highly conserved epitope that enables cross-reactive binding between SARS-CoV-2 and SARS-CoV. Structural modeling further demonstrates that the binding site can only be accessed when at least two RBDs on the trimeric S protein are in the “up” conformation. Overall, this study provides structural and molecular insight into the antigenicity of SARS-CoV-2.</jats:p><jats:sec><jats:title>ONE SENTENCE SUMMARY</jats:title><jats:p>Structural study of a cross-reactive SARS antibody reveals a conserved epitope on the SARS-CoV-2 receptor-binding domain.</jats:p></jats:sec>"
bioRxiv,10.1101/2020.03.11.987958,NA,2020-03-12,A human monoclonal antibody blocking SARS-CoV-2 infection,"<jats:title>Abstract</jats:title><jats:p>The emergence of the novel human coronavirus SARS-CoV-2 in Wuhan, China has caused a worldwide epidemic of respiratory disease (COVID-19). Vaccines and targeted therapeutics for treatment of this disease are currently lacking. Here we report a human monoclonal antibody that neutralizes SARS-CoV-2 (and SARS-CoV). This cross-neutralizing antibody targets a communal epitope on these viruses and offers potential for prevention and treatment of COVID-19.</jats:p>"
bioRxiv,10.1101/2020.01.19.911669,NA,2020-01-19,A mathematical model for simulating the transmission of Wuhan novel Coronavirus,"<jats:title>Abstract</jats:title><jats:p>As reported by the World Health Organization, a novel coronavirus (2019-nCoV) was identified as the causative virus of Wuhan pneumonia of unknown etiology by Chinese authorities on 7 January, 2020. In this study, we developed a Bats-Hosts-Reservoir-People transmission network model for simulating the potential transmission from the infection source (probable be bats) to the human infection. Since the Bats-Hosts-Reservoir network was hard to explore clearly and public concerns were focusing on the transmission from a seafood market (reservoir) to people, we simplified the model as Reservoir-People transmission network model. The basic reproduction number (<jats:italic>R</jats:italic><jats:sub>0</jats:sub>) was calculated from the RP model to assess the transmissibility of the 2019-nCoV.</jats:p>"
bioRxiv,10.1101/2020.02.20.958272,NA,2020-02-21,A Multiscale and Comparative Model for Receptor Binding of 2019 Novel Coronavirus and the Implication of its Life Cycle in Host Cells,"<jats:title>ABSTRACT</jats:title><jats:p>The respiratory syndrome caused by a new type of coronavirus has been emerging from China and caused more than 1000 death globally since December 2019. This new virus, called 2019 novel coronavirus (2019-nCoV) uses the same receptor called Angiotensinconverting enzyme 2 (ACE2) to attack humans as the coronavirus that caused the severe acute respiratory syndrome (SARS) seventeen years ago. Both viruses recognize ACE2 through the spike proteins (S-protein) on their surfaces. It was found that the S-protein from the SARS coronavirus (SARS-CoV) bind stronger to ACE2 than 2019-nCoV. However, function of a bio-system is often under kinetic, rather than thermodynamic, control. To address this issue, we constructed a structural model for complex formed between ACE2 and the S-protein from 2019-nCoV, so that the rate of their association can be estimated and compared with the binding of S-protein from SARS-CoV by a multiscale simulation method. Our simulation results suggest that the association of new virus to the receptor is slower than SARS, which is consistent with the experimental data obtained very recently. We further integrated this difference of association rate between virus and receptor into a mathematical model which describes the life cycle of virus in host cells and its interplay with the innate immune system. Interestingly, we found that the slower association between virus and receptor can result in longer incubation period, while still maintaining a relatively higher level of viral concentration in human body. Our computational study therefore provides, from the molecular level, one possible explanation that the new disease by far spread much faster than SARS.</jats:p>"
bioRxiv,10.1101/2020.03.02.974139,NA,2020-03-05,A novel bat coronavirus reveals natural insertions at the S1/S2 cleavage site of the Spike protein and a possible recombinant origin of HCoV-19,"<jats:title>Summary</jats:title><jats:p>The unprecedented epidemic of pneumonia caused by a novel coronavirus, HCoV-19, in China and beyond has caused public health concern at a global scale. Although bats are regarded as the most likely natural hosts for HCoV-19<jats:sup>1,2</jats:sup>, the origins of the virus remain unclear. Here, we report a novel bat-derived coronavirus, denoted RmYN02, identified from a metagenomics analysis of samples from 227 bats collected from Yunnan Province in China between May and October, 2019. RmYN02 shared 93.3% nucleotide identity with HCoV-19 at the scale of the complete virus genome and 97.2% identity in the 1ab gene in which it was the closest relative of HCoV-19. In contrast, RmYN02 showed low sequence identity (61.3%) to HCoV-19 in the receptor binding domain (RBD) and might not bind to angiotensin-converting enzyme 2 (ACE2). Critically, however, and in a similar manner to HCoV-19, RmYN02 was characterized by the insertion of multiple amino acids at the junction site of the S1 and S2 subunits of the Spike (S) protein. This provides strong evidence that such insertion events can occur in nature. Together, these data suggest that HCoV-19 originated from multiple naturally occurring recombination events among those viruses present in bats and other wildlife species.</jats:p>"
