source,doi,posted_date,title,abstract
Figshare,10.6084/m9.figshare.12083835.v1,2020-04-04,A Comprehensive Study of Collective Data on the Emergence COVID.pdf,"<i>In India, Tamil Nadu is in the Southern part of the Sub-Continent. Nearly 8 Crore people are in the state. Simply, it is a dense state; having four cosmopolitan cities. Lots of men and women are working abroad all over the world and it has caused the pandemic to let into the state after China and other countries send back the migrant employers to their native country. Tamil Nadu even in the corner of the nation got chiefly afflicted by the inward transportation of the people in the country. Many north Indian people has been doing business come amass for their business. Kerala the adjacent state of the Tamil Nadu has registered the first case because of its international exposure in airways. Slowly, it got speeded into the nation in all sides of the country and has come to a hiked state. The purpose of the article is to give a comprehensive study of the emergence and the present state of COVID-19 affected in Tamil Nadu, India from the start to 4.4.2020. It also suggests some precautionary measures to avoid such catastrophic end faced by the developed countries.</i>"
Figshare,10.6084/m9.figshare.12056097,2020-04-01,A new perspective for mitigation of SARS-CoV-2 infection: priming the immune system for attack,"The rapidly spreading COVID-19 epidemic has created an unusual situation: in each population that is infected by the virus, large parts of the population will be infected within a well-defined short time period, with near certainty. A major question is thus: Can the unusual predictability of the infections’ timing be utilized to mitigate the imminent infection’s length, severity, and probability of complications? We suggest that priming the immune system for attack shortly before it is expected to occur, e.g. via a vaccine that elicits a broad anti-viral immune response, may have this desired effect. Early activation of the immune system would allow it to clear the infection faster and with less complications than otherwise. This would alleviate adverse clinical outcomes at the individual level, and mitigate population-level risk by reducing need for hospitalizations and decreasing the infectious period of individuals, thus slowing the epidemic’s spread and reducing its impact."
Figshare,10.6084/m9.figshare.11944956.v1,2020-03-06,An Analysis of the COVID-19; Coronavirus and Family and Insights for Potential Research for Public Health Preparedness,"It is a 4 part paper written to provide a public understanding and place necessary caution for public health. With the recent outbreak, it is becoming evident the importance of taking necessary defenses and taking action towards biotactical preparedness. This information is the latest from 1st — 4th of March."
Figshare,10.6084/m9.figshare.11796651.v1,2020-02-04,Challenging Host Inference for 2019-nCov Due to the Sequence Diversity in ACE2 Receptor,"<b>Challenging Host Inference for 2019-nCov Due to the Sequence Diversity in ACE2 Receptor</b><b><br></b><b>Since the Wuhan coronavirus (2019-nCov) outbreak, it has been difficult to trace the origin of this virus through the investigation of its intermediate host before passing to human. While most of the inference works focused on viral genome sequence comparison, studies on the diversity of the Angiotensin I Converting Enzyme 2 (ACE2), the wildly recognized receptor for viral infection, has been limited in possible animal hosts. In this study, we analyzed the sequence divergence of ACE2 in the viral binding sites from bats, snakes, alligators, carnivores, even toe animals, rodents, nonhuman primates and humans. Our results showed that the viral binding sites in the ACE2 receptors are diverse between human and other animal species. In contrast, the protein sequences of the MERS receptor CD26 have only one amino acid difference between camel and human (camel V, human T). These analysis indicates complexity of the development of the infection mechanism of 2019-nCov and challenges in identifying the intermediate host(s) solely by bioinformatics approaches. Therefore, well-designed clinical studies and laboratory experiments are needed to determine the spreading path of 2019-nCov.</b><br>"
Figshare,10.6084/m9.figshare.12091977.v1,2020-04-07,Chloroquine and COVID-19,Chloroquine is prone to adverse effects in COVID-19 due to aggravation of oxidative stress.
Figshare,10.6084/m9.figshare.11985882.v1,2020-03-14,Correcting under-reported COVID-19 case numbers,"The COVID-19 virus has spread worldwide in a matter of a few month. Healthcare systems struggle to monitor and report current cases. Limited capabilities in testing result in difficult to guide policies and mitigate lack of preparation. Since severe cases, which more likely lead to fatal outcomes, are detected at a higher percentage than mild cases, the reported death rates are likely inflated in most countries. Such under-estimation can be attributed to under-sampling of infection cases and results in systematic death rate estimation biases.The method proposed here utilizes a benchmark country (South Korea) and its reported death rates in combination with population demographics to correct the reported COVID-19 case numbers. By applying a correction, we predict that the number of cases is highly under-reported in most countries. In the case of China, it is estimated that more than 700.000 cases of COVID-19 actually occurred instead of the confirmed 80,932 cases as of 3/13/2020."
Figshare,10.6084/m9.figshare.12033567.v5,2020-03-26,COVID-19 and Substance Use Disorders: Recommendations to a Comprehensive Healthcare Response,"Coronavirus disease 2019 (COVID-19) is escalating across the world with higher morbidities and mortalities in certain vulnerable populations. People who use drugs (PWUD) are a marginalized and stigmatized group with lower access to health care services, weaker immunity responses, vulnerability to stress, poor health conditions, and high-risk behaviors that put them at greater risk of COVID-19 infection and its complications. In this paper, an international group of experts on addiction medicine, infectious disease and disaster psychiatry explore the possible concerns raised and provide recommendations to manage the overlaps between COVID-19 and Substance Use Disorder (SUD)."
Figshare,10.6084/m9.figshare.12071328,2020-04-02,Covid-19 and the use of Contact Lenses (GR),"In December 2019, a coronavirus (CoV) epidemic broke out in China, causing severe acute respiratory syndrome. Today it has become a pandemic of Coronation 2019 (COVID-19). According to the article so far written by the pandemic in the world, we have more than 850,000 cases with more than 44,000 deaths in 178 countries (The numbers will have varied when you read these lines) [1.2 ]. Since then, there have been repeated reports of eye infections. Of course, the eye effects of human infections with CoVs in general have not been widely studied. However, CoVs are known to cause various eye infections in animals.On January 30, the World Health Organization (WHO) 3 issued an emergency international public health warning (PHEIC) [5]. It included a set of recommendations for personal protective equipment (PPE) based on the experience of previous epidemics, such as Previous MERS-CoV4 and SARS-CoV [1,6]. This batch of proposals includes the use of goggles or face shield to protect against eye transmission of CoV. However, it remains interesting that the data on eye transmission have not been thoroughly studied. Of course, from the ophthalmological scientific community, there are reports indicating that CoVs also affect the eye [6,7,8]. <br>Τον Δεκέμβριο του 2019, ξεκίνησε από την Κίνα μια επιδημία κοροναϊού (CoV), που προκαλεί σοβαρό οξύ αναπνευστικό σύνδρομο. Σήμερα έχει μετατραπεί σε πανδημία του κορονοϊού 2019 (COVID-19). Σύμφωνα με τις μέχρι τώρα που γράφεται το άρθρο ενημερώσεις από την πανδημία στην Υφήλιο, έχουμε πάνω από 850.000 κρούσματα με περισσότερους από 44000 νεκρούς σε 178 χώρες. (Οι αριθμοί θα έχουν διαφοροποιηθεί όταν θα διαβάζετε αυτές τις γραμμές) [1,2]. Έκτοτε, υπήρξαν επανειλημμένα κάποιες αναφορές οφθαλμικών λοιμώξεων. Βέβαια, οι οφθαλμικές επιπτώσεις των ανθρώπινων λοιμώξεων γενικά από ιούς CoVs δεν έχουν μελετηθεί ευρέως. Ωστόσο, οι CoVs είναι γνωστό ότι προκαλούν διάφορες οφθαλμικές λοιμώξεις σε ζώα. Στις 30 Iανουαρίου, ο Παγκόσμιος Οργανισμός Υγείας (WHO)3 εξέδωσε έκτακτη επείγουσα προειδοποίηση για την δημόσια υγεία σε διεθνές επίπεδο (PHEIC) [5]. Περιελάμβανε ένα σύνολο συστάσεων για τον εξοπλισμό ατομικής προστασίας (PPE) με βάση την εμπειρία προηγούμενων επιδημιών , όπως των MERS-CoV4 και SARS-CoV1 που έχουν προηγηθεί [6]. Αυτή η δέσμη προτάσεων περιλαμβάνει τη χρήση προστατευτικών γυαλιών ή προσωπίδας για προστασία από την οφθαλμική μετάδοση του CoV. Ωστόσο, παραμένει ενδιαφέρον ότι τα στοιχεία της μετάδοσης στον οφθαλμό δεν έχουν μελετηθεί επισταμένως. Βέβαια από την οφθαλμολογική επιστημονική κοινότητα, υπάρχουν αναφορές που υποδηλώνουν ενδείξεις ότι οι CoVs επηρεάζουν και τον οφθαλμό [6,7,8].<br>"
Figshare,10.6084/m9.figshare.12044115.v1,2020-03-28,COVID-19 Impacto en la Investigación de Mercados.pdf,"El contexto que vivimo, está ocasionando una serie de cambios en nuestros comportamientos de compra, actitudes hacia marcas y productos, percepciones, etc., que afectan no solo nuestra forma de consumo, sino también la forma en como debemos recopilar información para la mejor toma de decisiones.Este artículo hace un repaso por la situación actual, recopila información reciente que fundamenta estos cambios y muestra las posibles opciones que deben seguir las empresas de investigación de mercados para el recojo de información acorde a la situación actual<br>"
Figshare,10.6084/m9.figshare.12091455.v1,2020-04-07,Dynamic linkage of Public Health England’s Second Generation Surveillance System to UK Biobank provides real-time outcomes for infection research,"UK Biobank is an international research resource for discovering epidemiological and human genetic risk factors for common diseases of older age. It comprises a longitudinal cohort of around 500,000 people from the United Kingdom beginning in 2006, with detailed information on lifestyle and host genetic factors, with longitudinal follow-up through linkage to health administrative records. Public Health England’s Second Generation Surveillance System is a centralized microbiology database covering English clinical diagnostics laboratories that provides national surveillance of legally notifiable infections, bacterial isolations and antimicrobial resistance. We have already successfully established secure, anonymized, individual-level linkage of these systems. In this study, we implemented rapid dynamic linkage to provide a daily feed of new infection records with the aim of piloting the feasibility of prospective sampling of microbiological cultures from UK Biobank participants to create a microbiological biobank (‘bugbank’) for studying the interaction of environment, human and microbial genetics on infection. In light of the ongoing SARS-CoV-2 (COVID-19) pandemic, we have repurposed the system to provide UK Biobank researchers with rapid and regular information on COVID-19 test results to facilitate investigation of the environmental and human genetic risk factors for severe infection."
